question,voice,type,r_ness,word,word_real,r_spelling
Q99,K46,Phrase,partial,Ainkarka,Car,2
Q123,J35,Phrase,full,Alayner,Alaina,2
Q89,J11,Phrase,none,Anmisterthee,Mister,2
Q95,J17,Phrase,none,Atharfav,Other,2
Q108,K56,Phrase,partial,Baror,Bar,1
Q100,K47,Phrase,full,Budower,Hour,2
Q101,K48,Phrase,none,Carso,Car,1
Q115,P13,Phrase,none,Eircondish,Air,2
Q116,P14,Phrase,partial,Fasterb,Disaster,2
Q111,K58,Phrase,partial,Fatharl,Father,2
Q118,P15,Phrase,none,Forhin,Before,1
Q104,K51,Phrase,none,Forlunt,For,1
Q102,K49,Phrase,none,Gulartee,Regular,2
Q121,P21,Phrase,none,Kwourthow,Court,2
Q91,J13,Phrase,none,Lergonin,Tyler,2
Q92,J14,Phrase,none,Marhousda,Summer,2
Q103,K50,Phrase,none,Merlike,TestingforMother,2
Q112,K59,Phrase,partial,Mutterrale,Commuter,2
Q110,K57,Phrase,none,Neerthuthear,Theater,1
Q90,J12,Phrase,full,Notherch,Another,2
Q113,K60,Phrase,none,Nulparkum,Park,1
Q97,J19,Phrase,partial,Nundarnee,Underneath,1
Q120,P19,Phrase,none,Reehar,Hardigan,1
Q96,J18,Phrase,partial,Retooyeers,Years,1
Q117,P16,Phrase,none,Starsit,Starts,1
Q107,K54,Phrase,none,Thairfa,For,2
Q119,P17,Phrase,partial,Therast,Mother,2
Q114,P12,Phrase,full,Thursyu,Sweaters,2
Q105,K52,Phrase,partial,Thurthantha,Other,1
Q122,P21,Phrase,partial,Tidtour,Tour,1
Q94,J16,Phrase,full,Touber,October,1
Q98,J20,Phrase,full,Upleeyers,Years,2
Q109,K55,Phrase,partial,Whearfra,Anywhere,2
Q106,K53,Phrase,full,Worsah,Worse,2
Q17,K31,Word,partial,Ainkarka,Car,2
Q7,J1,Word,none,Anmisterthee,Alaina,2
Q13,J7,Word,none,Atharfav,Mister,2
Q27,K41,Word,partial,Baror,Other,1
Q18,K32,Word,full,Budower,Bar,2
Q19,K33,Word,none,Carso,Hour,1
Q33,P2,Word,none,Eircondish,Car,2
Q34,P3,Word,partial,Fasterb,Air,2
Q29,K43,Word,partial,Fatharl,Disaster,2
Q35,P4,Word,none,Forhin,Father,1
Q22,K36,Word,none,Forlunt,Before,1
Q38,P7,Word,none,Guilaryog,For,2
Q20,K34,Word,none,Gulartee,Regular,2
Q40,P9,Word,none,Kwourthow,Court,2
Q9,J3,Word,none,Lergonin,Tyler,2
Q10,J4,Word,none,Marhousda,Summer,2
Q21,K35,Word,none,Merlike,TestingforMother,2
Q30,K44,Word,partial,Mutterrale,Commuter,2
Q28,K42,Word,none,Neerthuthear,Theater,1
Q8,J2,Word,full,Notherch,Another,2
Q31,K45,Word,none,Nulparkum,Park,1
Q15,J9,Word,partial,Nundarnee,Underneath,1
Q39,P8,Word,none,Reehar,Hardigan,1
Q14,J8,Word,partial,Retooyeers,Years,1
Q36,P5,Word,none,Starsit,Starts,1
Q25,K39,Word,none,Thairfa,For,2
Q37,P6,Word,partial,Therast,Mother,2
Q32,P1,Word,full,Thursyu,Sweaters,2
Q24,K38,Word,partial,Thurthantha,Other,1
Q41,P10,Word,partial,Tidtour,Tour,1
Q12,J6,Word,full,Touber,October,1
Q16,J10,Word,full,Upleeyers,Years,2
Q26,K40,Word,partial,Whearfra,Anywhere,2
Q23,K37,Word,full,Worsah,Worse,2
